484312,109,535,173,1744,1430,1195368,45155,166650,438,1791,190,46687,9397,182,1981,278551,2478,2059,1101,2006,1104,1215811,4098,2603,6799,1451,7571,1802,973,1087,1519,2688,1778,526,2252,1219023,3502,1760,4055,2375,1223172,3030,3528,1227860,1152941,1125857,3274,1022,3583,598,6929,115,3997,1034,5367,9282,991,1143447,1222237,508860,1122441,596,5991,8551,7112,369,279316,4212,2480,6542,192495,3952,888902,133,6244,915352,1162807,1214120,3710,1138844,2337,9696,1226830,1224850,5669,5398,39622,1083,841621,181,5992,1224963,2009,1019,1847,117,927801,4022,3052
484312,173,1150477,109,1744,535,438,1430,45155,1201434,166650,1791,190,46687,9397,973,1981,2059,182,1101,2478,6799,1451,2688,2006,7571,2603,1087,1104,4055,4098,3502,1519,2252,456962,1227672,1778,1059387,1760,1227694,3274,1220104,456915,526,1022,3030,2375,3583,3528,115,6929,3997,598,5367,369,991,508860,9282,1226830,1034,1218753,5991,133,1802,881733,4212,8551,278551,279316,1146662,7112,3952,596,6542,6244,3710,1201807,1224606,2337,1223979,5669,5398,927801,117,2480,9696,3602,1019,1052556,181,849972,2641,1027,4022,491,476,3052,1200303,1847,1206294
173,484312,438,109,535,45155,1744,1791,1430,166650,190,6799,2059,1981,1101,1748,1451,2478,1104,9397,182,7571,4055,2006,973,1087,4098,1519,2252,1150477,3502,2688,914580,2603,1161560,2375,1760,3274,526,115,1022,3583,3030,369,46687,1020024,1211862,133,991,1778,5367,3997,6929,1227740,508860,1179336,5991,3528,922650,1201434,6244,1227672,8551,279316,1059387,598,3952,1227694,1168574,854029,4212,927801,9282,1034,3710,849972,2337,278263,117,1083,1218753,476,5398,2451,6542,1216661,4022,5669,3602,1225558,1220104,4420,861639,456962,7112,1802,1019,596,1027,278551
173,484312,438,45155,109,1744,535,1791,166650,1430,6799,2059,190,1101,7571,1451,4055,2006,1981,1104,2478,182,1087,4098,1519,2252,3502,973,9397,1760,115,369,2603,2688,3030,1224102,3583,991,3274,1227740,1119502,5367,2375,133,526,922650,1022,6929,3997,508860,8551,5991,6244,1778,279316,927801,3952,192257,1159797,1226321,4420,849972,1225558,1748,861639,476,1216661,117,4022,2337,3528,598,4212,3710,372,5398,2451,1225361,1227863,957,2009,5737,1206148,9211,1027,4147,1019,5669,1034,1217732,181,1083,9282,854029,498,3014,278263,504423,960,6825
173,484312,45155,109,438,1744,535,166650,1430,1791,6799,1981,2059,190,1101,7571,2006,1451,9397,4055,2478,182,1087,1104,4098,3502,1519,2252,2603,1760,2688,973,3030,991,3274,115,3583,369,1022,1778,8551,5367,2375,133,6929,3997,526,46687,508860,922650,6244,5991,598,279316,1034,3952,2337,1227740,3528,4212,4420,5398,927801,3710,9282,117,476,596,2009,1019,4022,181,849972,1027,4147,957,7112,5669,2451,861639,192257,960,2261,1217732,1108026,1802,1119357,3052,6542,3014,372,8717,2142,1159797,1225558,3136,5737,6825,6191,1726
173,45155,484312,1744,109,438,1430,535,166650,1791,9397,1981,6799,190,1101,2059,1451,2478,2006,1087,7571,4055,182,46687,2603,2688,3502,1104,4098,1519,991,973,2252,1760,3583,3030,1778,1022,3274,115,526,8551,3997,598,369,3528,6929,2375,5367,6244,1034,133,508860,4212,9282,3952,5991,596,988906,279316,922650,7112,2337,504423,5398,3710,117,1019,2009,181,4420,1217732,5669,1802,476,4022,3052,2261,6542,957,2451,1027,1847,4147,960,1182531,3136,1227740,849972,2142,9696,6191,5737,958,3014,510898,8717,8011,1836,914588
173,1430,45155,1744,823409,109,166650,484312,535,438,1791,9397,1087,1981,190,1101,6799,46687,2059,2478,1451,182,2006,2603,2688,4055,7571,1519,4098,3502,991,1104,973,1778,2252,1760,3030,1022,3274,3528,526,115,3583,598,2375,3997,5367,8551,369,6244,6929,1034,9282,508860,3952,4212,1217732,5991,2009,133,2337,7112,279316,596,476,5398,3710,1019,923853,1083,9696,3052,181,6542,117,1802,922650,4022,510898,2451,5669,1027,957,1847,4420,3136,960,2261,4147,6191,2142,914588,1182531,1836,2755,5737,958,849972,1726,8717
823409,173,1430,45155,109,1744,535,166650,484312,438,1791,9397,1087,1981,190,1101,46687,2478,2059,182,1451,2603,6799,2006,4055,2688,7571,1519,4098,1104,3502,991,973,1778,2252,1760,1022,3528,3030,526,3274,3583,115,2009,598,3997,2375,5367,1034,9282,9696,508860,3952,6929,6244,8551,369,1217732,2337,596,4212,7112,5991,279316,3710,4420,6542,5398,133,1019,1083,3052,476,1802,117,4022,2451,181,2641,1027,957,5669,1847,510898,6191,6825,960,3136,4147,2077,1836,2142,2991,8717,958,2261,914588,1726,8011,2390
823409,173,45155,109,1744,166650,484312,1430,535,1791,438,1981,9397,190,1087,2478,2059,1101,2603,1451,46687,182,6799,2006,4055,7571,1104,4098,991,2688,3502,973,1519,2252,1778,1022,3528,1760,3030,526,3583,2375,598,3274,5367,3997,9282,115,1034,2009,508860,4833,9696,279316,2337,3710,3952,6929,6244,1217732,369,6542,8551,5991,596,7112,4212,5398,1802,133,4022,1019,4420,6825,181,117,3052,2451,1083,1027,5669,476,957,2077,1847,6191,3136,960,1836,958,2142,4147,2390,8011,8717,2991,1726,914588,2261,8761
173,45155,109,823409,1430,166650,1744,535,1791,438,484312,1981,2059,190,2478,991,7571,1101,1087,2006,1451,9397,6799,1104,182,4055,4098,1242832,2603,3502,2252,973,1519,3583,1760,1022,2688,2375,5367,526,1778,3030,3997,3528,3274,115,508860,46687,923853,369,279316,598,6929,6542,3710,1217732,3952,1222427,2009,9282,2337,8551,1034,6825,5991,6244,4212,133,5398,4022,1802,1243055,2077,476,7112,596,9696,957,2451,117,4420,1027,3136,181,1083,1019,1238615,6191,3052,960,914588,413,5669,749,4147,8717,1836,2390,1847,1726
